_id,model,Serial,Barcode,prix,price,devise,Situation,PassOg,Description,ConfigUser,CreationDate,DMS,Photo,Power,files,localisation
110,CBS220-24P-4G,DNI271302UD,55764,5,5350,Mad,En stock,false,Smart Switch CISCO,h.zagrari,2024-11-22T15:35:22.769Z,,,,,
111,CBS220-24P-4G,DNI271302SK,55763,5,5350,Mad,En stock,false,Smart Switch CISCO,h.zagrari,2024-11-22T15:35:29.466Z,,,,,
112,CBS220-24P-4G,DNI271302TA,55777,5,5350,Mad,En stock,false,Smart Switch CISCO,h.zagrari,2024-11-22T15:35:36.206Z,,,,,
113,CBS220-24P-4G,DNI271302U1,55765,5,5350,Mad,En stock,false,Smart Switch CISCO,h.zagrari,2024-11-22T15:35:41.895Z,,,,,
114,CBS220-24P-4G,DNI271302RZ,55776,5,5350,Mad,En stock,false,Smart Switch CISCO,h.zagrari,2024-11-22T15:35:47.301Z,,,,,
115,CBS220-24P-4G,DNI271302PP,55773,5,5350,Mad,En stock,false,Smart Switch CISCO,h.zagrari,2024-11-22T15:35:52.723Z,,,,,
116,CBS220-24P-4G,DNI271302WS1,55748,5,5350,Mad,En stock,false,Smart Switch CISCO,h.zagrari,2024-11-22T15:35:58.803Z,,,,,
117,CBS220-24P-4G,DNI271302TZ,55758,5,5350,Mad,En stock,false,Smart Switch CISCO,h.zagrari,2024-11-22T15:36:06.282Z,,,,,
118,CBS220-24P-4G,DNI271302H8,55760,5,5350,Mad,En stock,false,Smart Switch CISCO,h.zagrari,2024-11-22T15:36:13.858Z,,,,,
119,CBS220-24P-4G,DNI271302Q1,55759,5,5350,Mad,En stock,false,Smart Switch CISCO,h.zagrari,2024-11-22T15:36:19.334Z,,,,,
120,CBS220-24P-4G,DNI271302P8,55756,5,5350,Mad,En stock,false,Smart Switch CISCO,h.zagrari,2024-11-22T15:36:47.461Z,,,,,
121,CBS220-24P-4G,DNI271302TW,55772,5,5350,Mad,En stock,false,Smart Switch CISCO,h.zagrari,2024-11-22T15:36:52.366Z,,,,,
122,CBS220-24P-4G,DNI271302PN,55751,5,5350,Mad,En stock,false,Smart Switch CISCO,h.zagrari,2024-11-22T15:36:56.960Z,,,,,
123,CBS220-24P-4G,DNI271302KF,55750,5,5350,Mad,En stock,false,Smart Switch CISCO,h.zagrari,2024-11-22T15:37:02.675Z,,,,,
124,CBS220-24P-4G,DNI271302SU,55762,5,5350,Mad,En stock,false,Smart Switch CISCO,h.zagrari,2024-11-22T15:37:08.241Z,,,,,
125,CBS220-24P-4G,DNI271302AA,55754,5,5350,Mad,En stock,false,Smart Switch CISCO,h.zagrari,2024-11-22T15:37:13.686Z,,,,,
126,CBS220-24P-4G,DNI271302VR,55753,5,5350,Mad,En stock,false,Smart Switch CISCO,h.zagrari,2024-11-22T15:37:18.644Z,,,,,
127,CBS220-24P-4G,DNI271302TV,55757,5,5350,Mad,En stock,false,Smart Switch CISCO,h.zagrari,2024-11-22T15:37:23.571Z,,,,,
128,CBS220-24P-4G,DNI271302RU,55761,5,5350.00,Mad,En service,false,Switch PGR,h.zagrari,2025-01-21T10:44:50.376Z,2024-03-08T00:00:00.000Z,,,,Salle d'émission
129,CBS220-24P-4G,DNI271302TH,55749,5,5350,Mad,En stock,false,Smart Switch CISCO,h.zagrari,2024-11-22T15:37:33.408Z,,,,,
130,CBS220-24P-4G,DNI271302TR,55755,5,5350,Mad,En stock,false,Smart Switch CISCO,h.zagrari,2024-11-22T15:37:38.590Z,,,,,
131,CBS220-24P-4G,DNI271302U5,55752,5,5350,Mad,En stock,false,Smart Switch CISCO,h.zagrari,2024-11-22T15:37:51.318Z,,,,,
132,XPS15,37C1QV3,55712,3,32300,Mad,En service,false,Ordinateur Portable,h.zagrari,2024-11-22T10:38:19.504Z,2024-03-08T00:00:00.000Z,,,,
133,P2422H,5PJQXX3,55714,3,2800,Mad,En service,false,Ecran Informatique,h.zagrari,2024-11-22T10:32:03.159Z,2024-03-09T00:00:00.000Z,,,,
134,P2422H,HDHQXX3,55715,3,2800,Mad,En service,false,Ecran Informatique,h.zagrari,2024-11-22T10:32:10.722Z,2024-03-09T00:00:00.000Z,,,,
135,WD19DCS,2FGR6W3,55713,3,3000,Mad,En service,false,Station d'accueil,h.zagrari,2024-12-25T14:14:13.154Z,2024-03-08T00:00:00.000Z,,,,
136,,WX32A138YA14,55711,3,700,Mad,En service,false,Disque dur externe,h.zagrari,2024-11-22T10:31:50.211Z,2024-03-08T00:00:00.000Z,,,,
137,-,-,92336,5,0,-,En stock,false,Charge POUR STATION D'EMETTEUR FM EN MODE 5+1 DE 500W,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
138,-,-,92335,5,0,-,En stock,false,TXR POUR STATION D'EMETTEUR FM EN MODE 5+1 DE 500W,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
139,-,-,92334,5,0,-,En stock,false,TX5 POUR STATION D'EMETTEUR FM EN MODE 5+1 DE 500W,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
140,-,-,92333,5,0,-,En stock,false,TX4 POUR STATION D'EMETTEUR FM EN MODE 5+1 DE 500W,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
141,-,-,92332,5,0,-,En stock,false,TX3 POUR STATION D'EMETTEUR FM EN MODE 5+1 DE 500W,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
142,-,-,92331,5,0,-,En stock,false,TX2 POUR STATION D'EMETTEUR FM EN MODE 5+1 DE 500W,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
143,-,-,92330,5,0,-,En stock,false,TX1 POUR STATION D'EMETTEUR FM EN MODE 5+1 DE 500W,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
144,-,-,92329,5,0,-,En stock,false,Change Over POUR STATION D'EMETTEUR FM EN MODE 5+1 DE 500W,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
145,-,-,92328,5,0,-,En stock,false,SWITCH RF POUR STATION D'EMETTEUR FM EN MODE 5+1 DE 500W,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
146,5+1,T500S0522130,92327,5,31500,Euro,En stock,false,BAIE POUR STATION D'EMETTEUR FM EN MODE 5+1 DE 500W,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
147,LS042150P1FNA000,5083140016,100353,1,0,Mad,En stock,false,Splitter L-Band de marque Quintech ref LS042150P1FNA000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
148,541.501.338,190022,84289,1,20,Euro,En stock,false,Exciter PCM/UHF TX-D UIP 1W CODE 541.501.337,h.zagrari,2024-11-22T13:40:00.464Z,,,,,
149,LS042150P1FNA000,5083140007,100350,1,0,Mad,En stock,false,Splitter L-Band de marque Quintech ref LS042150P1FNA000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
150,LS042150P1FNA000,5083140008,100349,1,0,Mad,En stock,false,Splitter L-Band de marque Quintech ref LS042150P1FNA000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
151,FLEXDSR04+,440.00137,75526,1,108853,Pound,En stock,false,Recepteur audio professionnel DVB-S/S2  RDS  DE MAQUE/2W com rÃ©f:FLEXDSR04 plus,,2024-12-10T11:03:20.830Z,,,,,
152,FLEXDSR04+,440.001393,75537,1,108853,Pound,En stock,false,Recepteur audio professionnel DVB-S/S2  RDS  DE MAQUE/2W com rÃ©f:FLEXDSR04 plus,,2024-12-10T11:03:21.058Z,,,,,
153,FLEXDSR04+,440.001385,75538,1,108853,Pound,En stock,false,Recepteur audio professionnel DVB-S/S2  RDS  DE MAQUE/2W com rÃ©f:FLEXDSR04 plus,,2024-12-10T11:03:21.107Z,,,,,
154,FLEXDSR04+,440.001174,75540,1,108853,Pound,En stock,false,Recepteur audio professionnel DVB-S/S2  RDS  DE MAQUE/2W com rÃ©f:FLEXDSR04 plus,,2024-12-10T11:03:21.154Z,,,,,
155,LS042150P1FNA000,5083140041,100348,1,0,Mad,En stock,false,Splitter L-Band de marque Quintech ref LS042150P1FNA000,h.zagrari,2024-12-30T09:58:36.914Z,,-,0,-,-
156,LS042150P1FNA000,5083140010,100347,1,0,Mad,En stock,false,Splitter L-Band de marque Quintech ref LS042150P1FNA000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
157,LS042150P1FNA000,5083140021,100346,1,0.00,Mad,En stock,false,Splitter L-Band de marque Quintech ref LS042150P1FNA000,h.zagrari,2025-05-09T14:55:58.037Z,,-,0,-,-
158,LS042150P1FNA000,5083140034,100345,1,0.00,Mad,En stock,false,Splitter L-Band de marque Quintech ref LS042150P1FNA000,h.zagrari,2025-01-20T14:22:47.582Z,,-,0,-,-
159,LS042150P1FNA000,5083140009,100340,1,0,Mad,En stock,false,Splitter L-Band de marque Quintech ref LS042150P1FNA000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
160,LS042150P1FNA000,5083140017,100339,1,0,Mad,En stock,false,Splitter L-Band de marque Quintech ref LS042150P1FNA000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
161,LS042150P1FNA000,5083140020,100338,1,0,Mad,En stock,false,Splitter L-Band de marque Quintech ref LS042150P1FNA000,h.zagrari,2024-12-30T19:31:26.130Z,,-,0,-,-
162,LS042150P1FNA000,5083140019,100337,1,0,Mad,En stock,false,Splitter L-Band de marque Quintech ref LS042150P1FNA000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
163,LS042150P1FNA000,5083140032,100336,1,0,Mad,En stock,false,Splitter L-Band de marque Quintech ref LS042150P1FNA000,h.zagrari,2024-12-21T13:30:48.660Z,,-,0,-,-
164,PJ702CLCD,CB88585,88585,11.1,1100.00,Euro,En stock,false,Tiroir amplificateur  FM identique Ã  celui de l'Ã©metteur FM 1kW marque RVR ref PJ702CLCD,,2025-05-13T18:26:14.548Z,,,,,
