_id,equipment_id,site_id,id
da9f19a4789310dc72adbc81,342,208,326
29d9a45e1e7461d02c5d6185,343,188,327
2a51c347813faaee6be4516b,344,216,328
693b13c78d1856147aa02aad,345,216,329
2c22b8914dec6db92c041917,346,215,330
0fddadfb55ae2f0302c039ca,347,216,331
bbd8df870cebbceeb1a8e4f6,349,216,332
5f5d2759ced60947c1cee1df,350,216,333
a17153f235bea199a786f7b7,351,216,334
8a6621306218ddb1952a61d1,352,216,335
aac72b1e80a6f08ecdbafa8a,353,216,336
c897ca881efb129d2a8f1a06,354,216,337
3cee6728e95deb4794e4d99e,355,216,338
3567a720fc335a77fc76cbec,356,216,339
f68d9f200e37d3854c0d8182,357,215,340
c3e60cb20e20e9a3d011d57d,358,215,341
b0072a6cd3a7243b22009b05,360,216,342
0165f65d7de6b88f554d68a6,361,215,343
114f2127600239e2783ff9ac,365,256,344
38b20c52f6e8b3f2438cc46f,366,243,345
bc6219768ab7793099c5277d,367,216,346
a677955a58d72de08b52fa08,368,216,347
f66301c5f053c4563e397393,369,216,348
4090fd02b2b64239804fe4dd,370,208,349
72c7385e2a05f4d2f9ea45e9,371,216,350
65cde839d797789585bb173d,372,216,351
9f6fca534989596554fbb0c9,373,216,352
1b175630adc9b1f4fad98657,374,216,353
c928bb4929fbfa391957d89b,375,216,354
e45cd793627dbed1fe6ea7d3,379,216,355
d73463b5b4cf7905f3afd7d9,380,216,356
b5edb1f98e87c53d6d96301c,381,243,357
7cc9d4c61926f8c319b39fdb,382,216,358
8bb6fb1ade4f6ebfb2df42fd,383,216,359
9ce9c26383fc93da6ec8539f,384,216,360
e821cc1297cce1d8e83cbb6e,385,216,361
fe699d1e3bbffc8722d0bd5d,386,243,362
2b0ca4c9d98e925101467308,387,216,363
c1772e6c709f2cc3bd4ed7f2,388,216,364
1ee91fad8ae0201a5940808d,389,216,365
a310f9a9ef2a39e08cf39665,390,216,366
bbafdd28f2404f2d04e751a6,392,216,367
013eb463dd4d73750f70eb37,393,216,368
9371dde6694ae08597bc106d,394,216,369
ee093a03783bb0adb2a839cc,395,216,370
d3873cff8ef34e11358b0e7a,396,216,371
96fcbd80c4f1a0e779f248f6,397,216,372
bef3c3b89cc3146745626e94,398,216,373
69fc11d62a545705541d1db0,399,216,374
d8d34d827b1b0a3d2223d74e,400,216,375
b702316acd3cd37fbd6b2538,401,216,376
f229017323c04a0042423c97,402,216,377
f5e4d4d29ef60cb8afefcf6d,403,216,378
5e87e542fd03a47d394d4849,404,216,379
035a68b9db77ddcbf68f9b19,405,216,380
7a5572a08be173a45793558a,406,216,381
660b81553b94ae6d6c6b5969,407,216,382
1be8b38ae7da93dad1480a8f,408,216,383
998e167e138a3084a5e5b84d,409,216,384
06b74866692a26387c2fabe0,410,216,385
c633f663c03676d5ca66e3a4,411,216,386
dcdd92f36c1829334f605caa,412,216,387
a7faf3fb28d01464b63c85bb,413,216,388
1eb6890f2bd9493ec4e117f0,414,216,389
1c62e47e5d9ab2603b848ce4,415,216,390
a818b7737d79ceea213ca50e,416,216,391
86c7e71211670b463f75857d,417,216,392
52b85edaf1f5b7a89336ae21,418,216,393
e15c68e2345146483b5817b2,419,216,394
eb618de13115e11495e97517,420,216,395
7dcefac20b99a1b604a82e28,421,216,396
bc957b3aa06c304bfd614be3,422,216,397
7d2b0368607ca564d22a7229,423,216,398
1e84911d4ca0435859cbb5a3,424,216,399
f4cdac11c3b79c91036e7f3f,426,216,400
839fb91144e99eb58f93b308,427,216,401
48867414422417361d88bbd9,428,216,402
a70e0c2fe3b7b8f0560b1c9e,435,216,405
bab4342c02d36b940747fd72,436,216,406
ec1b93c1590ad2738d5bc462,437,216,407
69d3c8a2d84b05f9f35c46a4,438,216,408
274930575fcdddc9d8d07bcc,439,216,409
03316e8bd2ac87977800ad2f,440,216,410
1d6bffe83534fe9badd7023d,441,216,411
8d11aafafdf842782d1e57ec,442,216,412
8937e7ef2839b8c464894800,443,216,413
6342270e8af5554c1a8a2aff,444,216,414
67c132f9eabab62d8eb7e66e,445,216,415
7ac25fa1e16d40f635754414,446,216,416
e872f59b05963f8f366c302e,447,216,417
